# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
11.5          	(3.378281e+01 -9.680063e-09 0.000000e+00)	1.013477e+05
11.55         	(3.376195e+01 -1.371996e-08 0.000000e+00)	1.013477e+05
11.6          	(3.373282e+01 -1.665446e-08 0.000000e+00)	1.013477e+05
11.65         	(3.369579e+01 -2.737509e-08 0.000000e+00)	1.013477e+05
11.7          	(3.365137e+01 -4.700778e-08 0.000000e+00)	1.013477e+05
11.75         	(3.360012e+01 -7.068950e-08 0.000000e+00)	1.013477e+05
11.8          	(3.354274e+01 -8.177918e-08 0.000000e+00)	1.013477e+05
11.85         	(3.347997e+01 -9.047778e-08 0.000000e+00)	1.013477e+05
11.9          	(3.341264e+01 -9.806765e-08 0.000000e+00)	1.013477e+05
11.95         	(3.334164e+01 -1.082505e-07 0.000000e+00)	1.013477e+05
12            	(3.326793e+01 -1.270177e-07 0.000000e+00)	1.013477e+05
12.05         	(3.319252e+01 -1.437939e-07 0.000000e+00)	1.013477e+05
12.1          	(3.311642e+01 -1.335528e-07 0.000000e+00)	1.013477e+05
12.15         	(3.304065e+01 -1.324020e-07 0.000000e+00)	1.013477e+05
12.2          	(3.296626e+01 -1.106062e-07 0.000000e+00)	1.013477e+05
12.25         	(3.289428e+01 -1.060146e-07 0.000000e+00)	1.013477e+05
12.3          	(3.282572e+01 -1.089020e-07 0.000000e+00)	1.013477e+05
12.35         	(3.276155e+01 -1.052110e-07 0.000000e+00)	1.013477e+05
12.4          	(3.270268e+01 -9.728338e-08 0.000000e+00)	1.013477e+05
12.45         	(3.264994e+01 -9.397342e-08 0.000000e+00)	1.013477e+05
12.5          	(3.260409e+01 -8.655958e-08 0.000000e+00)	1.013477e+05
12.55         	(3.256578e+01 -8.037083e-08 0.000000e+00)	1.013477e+05
12.6          	(3.253557e+01 -7.935098e-08 0.000000e+00)	1.013477e+05
12.65         	(3.251391e+01 -7.699623e-08 0.000000e+00)	1.013477e+05
12.7          	(3.250111e+01 -6.608866e-08 0.000000e+00)	1.013477e+05
12.75         	(3.249734e+01 -5.751832e-08 0.000000e+00)	1.013477e+05
12.8          	(3.250267e+01 -4.800831e-08 0.000000e+00)	1.013477e+05
12.85         	(3.251702e+01 -4.361952e-08 0.000000e+00)	1.013477e+05
12.9          	(3.254019e+01 -4.377955e-08 0.000000e+00)	1.013477e+05
12.95         	(3.257184e+01 -3.631714e-08 0.000000e+00)	1.013477e+05
13            	(3.261151e+01 -2.942795e-08 0.000000e+00)	1.013477e+05
13.05         	(3.265864e+01 -2.331220e-08 0.000000e+00)	1.013477e+05
13.1          	(3.271254e+01 -2.026530e-08 0.000000e+00)	1.013477e+05
13.15         	(3.277245e+01 -1.677350e-08 0.000000e+00)	1.013477e+05
13.2          	(3.283752e+01 -9.131879e-09 0.000000e+00)	1.013477e+05
13.25         	(3.290681e+01 -9.060156e-09 0.000000e+00)	1.013477e+05
13.3          	(3.297937e+01 -4.664582e-09 0.000000e+00)	1.013477e+05
13.35         	(3.305417e+01 1.276097e-10 0.000000e+00)	1.013477e+05
13.4          	(3.313018e+01 2.449778e-09 0.000000e+00)	1.013477e+05
13.45         	(3.320634e+01 4.874636e-09 0.000000e+00)	1.013477e+05
13.5          	(3.328162e+01 3.401760e-09 0.000000e+00)	1.013477e+05
